Date,Time,Open,High,Low,Close
1-Oct-23,1696114800,15.629,15.7375,15.348,15.426
2-Oct-23,1696201200,15.3505,15.419,15.0425,15.1095
3-Oct-23,1696287600,15.112,15.15,14.619,14.7645
4-Oct-23,1696374000,14.875,15.064,14.7665,14.921
5-Oct-23,1696460400,15.016,15.157,14.8055,15.023
6-Oct-23,1696546800,15.074,15.1435,14.834,14.8465
7-Oct-23,1696633200,14.878,14.9255,14.464,14.5705
8-Oct-23,1696719600,14.874,15.075,14.6615,14.737
9-Oct-23,1696806000,14.5965,14.7955,14.325,14.6635
10-Oct-23,1696892400,14.7,14.8,14.341,14.3475
11-Oct-23,1696978800,14.314,14.5395,14.2625,14.537
12-Oct-23,1697065200,14.6295,14.668,14.3195,14.472
13-Oct-23,1697151600,14.482,15.3,14.363,14.8625
14-Oct-23,1697238000,15,15.6125,15,15.516
15-Oct-23,1697324400,15.404,15.8465,15.386,15.6195
16-Oct-23,1697410800,15.591,15.65,15.376,15.483
17-Oct-23,1697497200,15.315,15.512,15.1315,15.3375
18-Oct-23,1697583600,15.4905,15.5755,15.19,15.1955
19-Oct-23,1697670000,15.2365,15.64,14.9665,15.589
20-Oct-23,1697756400,17.316,17.975,17.037001,17.7265
21-Oct-23,1697842800,17.502501,18.25,17.5005,18.223499
22-Oct-23,1697929200,18.0145,18.391001,18.0105,18.1775
23-Oct-23,1698015600,17.919001,18.375,17.911501,18.237499
24-Oct-23,1698102000,18.299999,18.940001,18.295,18.6945
25-Oct-23,1698188400,18.7435,18.7995,18.550501,18.714001
26-Oct-23,1698274800,18.549999,18.720501,18.360001,18.528
27-Oct-23,1698361200,18.5595,18.715,18.425501,18.65
